DATE,TIME
2014-08-17,22:59:10
2014-08-17,22:59:21
2014-08-18,4:55:57
2014-08-20,11:14:34
2014-08-25,2:50:41
2014-09-03,2:38:36
2014-09-04,22:07:04
2014-09-07,12:13:57
2014-09-08,4:18:57
2014-09-09,16:08:31
2014-09-12,12:20:05
2014-09-14,22:16:56
2014-09-15,0:56:56
2014-09-20,0:33:21
2014-09-27,2:06:31
2014-09-27,2:06:48
2014-09-27,2:23:40
2014-10-02,5:12:33
2014-10-02,22:44:00
2014-10-03,9:22:19
2014-10-05,19:18:30
2014-10-06,11:35:22
2014-10-07,9:39:34
2014-10-11,21:02:45
2014-10-12,20:16:04
2014-10-17,13:03:49
2014-10-21,22:57:23
2014-10-22,4:05:51
2014-10-25,11:07:36
2014-10-25,14:31:15
2014-10-30,5:38:24
2014-11-01,21:21:43
2014-11-03,8:53:35
2014-11-10,8:40:14
2014-11-10,8:42:43
2014-11-14,15:24:36
2014-11-22,20:26:29
2014-12-04,16:53:21
2014-12-06,12:23:20
2014-12-07,12:59:06
2014-12-15,10:09:34
2014-12-23,7:59:01
2014-12-24,5:51:51
2014-12-24,6:00:11
2014-12-30,0:12:03
2014-12-30,23:26:18
2014-12-31,6:27:42
2015-01-04,2:58:11
2015-01-04,3:18:09
2015-01-18,13:23:43
2015-01-25,18:10:18
2015-01-27,8:16:39
2015-01-28,11:36:03
2015-02-04,11:50:53
2015-02-07,14:05:58
2015-02-09,1:45:03
2015-02-09,7:17:44
2015-02-10,8:05:25
2015-02-12,16:14:09
2015-02-14,21:55:51
2015-02-26,1:18:37
2015-02-27,0:43:46
2015-02-28,3:04:14
2015-03-14,11:52:20
2015-03-22,22:33:43
2015-03-24,4:46:19
2015-03-26,18:09:36
2015-03-27,15:36:57
2015-03-27,22:45:52
2015-03-30,9:21:57
2015-04-02,18:50:15
2015-04-04,14:54:46
2015-04-08,19:23:15
2015-04-08,19:30:28
2015-04-13,4:17:41
2015-04-16,3:59:58
2015-04-19,4:35:46
2015-04-30,14:01:16
2015-05-03,11:07:18
2015-05-06,7:39:47
2015-05-06,16:11:01
2015-05-10,15:42:59
2015-05-21,3:15:30
2015-05-21,3:16:14
2015-05-21,3:51:02
2015-05-21,5:06:13
2015-05-22,5:05:59
2015-05-22,6:56:07
2015-05-23,17:06:51
2015-05-27,1:47:51
2015-05-27,7:47:38
2015-05-28,12:04:00
2015-05-28,12:13:42
2015-05-30,5:23:57
2015-05-31,13:02:56
2015-06-02,1:31:12
2015-06-02,13:20:29
2015-06-04,15:12:49
2015-06-05,6:11:17
2015-06-07,4:54:24
2015-06-09,21:58:42
2015-06-14,18:34:52
2015-06-29,6:08:43
2015-06-30,21:47:44
2015-07-02,19:38:40
2015-07-07,18:46:28
2015-07-18,20:11:25
2015-07-25,12:54:07
2015-08-04,3:41:00
2015-08-17,7:39:10
2015-09-16,3:27:58
2015-09-16,16:10:47
2015-10-07,13:28:51
2015-10-14,13:55:30
2015-10-16,5:29:51
2015-10-17,2:32:00
2015-10-21,15:07:53
2015-10-25,11:05:01
2015-10-27,18:20:13
2015-10-29,0:05:46
2015-10-30,6:49:15
2015-11-04,22:57:38
2015-11-05,10:58:55
2015-11-13,17:17:18
2015-11-18,4:41:49
2015-11-27,1:21:28
2015-12-02,23:27:36
2015-12-07,14:06:10
2015-12-10,8:17:33
2015-12-11,4:21:35
2015-12-12,9:22:00
2015-12-15,21:50:27
2015-12-18,0:21:01
2015-12-19,1:45:47
2015-12-19,17:36:49
2015-12-20,2:47:46
2015-12-20,23:22:32
2015-12-26,8:04:31
2015-12-26,11:55:16
2015-12-27,18:31:18
2015-12-29,19:51:55
2015-12-30,1:48:57
2015-12-30,1:53:46
2015-12-30,1:55:14
2016-01-06,14:42:35
2016-01-09,11:43:11
2016-01-14,4:23:59
2016-01-14,17:26:39
2016-01-16,20:49:19
2016-01-19,10:21:07
2016-01-19,21:52:31
2016-01-20,13:43:10
2016-01-24,15:32:16
2016-01-26,0:32:27
2016-02-04,7:20:58
2016-02-08,6:20:42
2016-02-12,8:10:26
2016-02-13,2:19:28
2016-02-14,9:01:10
2016-02-16,4:46:47
2016-02-16,9:24:21
2016-02-20,2:13:15
2016-02-20,6:13:20
2016-02-20,21:42:31
2016-02-23,3:06:45
2016-02-23,3:19:53
2016-02-24,0:02:24
2016-02-27,18:45:29
2016-03-01,19:15:22
2016-03-12,7:27:33
2016-03-12,8:42:40
2016-03-18,4:58:06
2016-03-22,9:31:48
2016-03-25,17:47:39
2016-03-28,10:39:59
2016-04-05,4:50:09
2016-04-06,11:44:20
2016-04-06,11:58:41
2016-04-08,1:45:06
2016-04-12,7:35:23
2016-04-15,21:21:33
2016-04-18,20:25:56
2016-04-21,18:14:23
2016-04-29,10:55:25
2016-05-11,21:59:18
2016-05-13,14:50:40
2016-05-24,2:28:27
2016-05-29,8:27:35
2016-06-02,9:23:52
2016-06-02,11:11:23
2016-06-02,23:06:16
2016-06-10,8:04:39
2016-06-10,8:05:36
2016-06-10,8:06:14
2016-06-10,8:06:23
2016-06-10,8:33:57
2016-06-10,8:46:46
2016-06-10,11:14:12
2016-06-11,1:40:31
2016-06-14,21:23:23
2016-06-15,7:41:03
2016-06-16,17:02:03
2016-06-17,13:39:59
2016-06-19,13:56:30
2016-06-20,4:21:15
2016-06-21,21:55:47
2016-07-07,12:55:25
2016-07-11,15:16:09
2016-07-12,22:32:08
2016-07-17,9:16:41
2016-07-30,17:22:29
2016-07-31,16:21:06
2016-08-04,11:08:24
2016-08-05,15:45:53
2016-08-06,14:39:19
2016-08-15,21:02:16
2016-08-16,19:01:23
2016-08-18,3:39:55
2016-08-20,23:44:38
2016-08-21,20:09:18
2016-08-30,14:25:11
2016-08-31,7:04:14
2016-09-02,15:42:15
2016-09-03,4:31:17
2016-09-20,14:43:59
2016-09-20,19:09:39
2016-09-24,9:11:14
2016-09-25,1:41:23
2016-09-26,13:14:19
2016-09-26,14:31:08
2016-09-26,15:47:29
2016-09-26,15:48:40
2016-09-26,23:33:37
